// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130222,0.01377,-0.0111355,-0.449187,0.0616536,27,30,33,0.998364,0.00515049,72.7795,0.998364,0.000484723
1,0,-0.00466465,0.00731849,-0.00945072,1.38567,0.0573863,24,27,30,0.996315,0.00412226,25.5241,0.996315,0.000548276
2,0,-0.0194366,0.0138319,-0.00281662,0.0730407,0.0626462,24,27,30,0.979754,0.00304004,45.5072,0.979754,0.000511478
3,0,-0.00619085,-0.00854376,0.0057049,-0.979026,0.0612159,27,30,33,0.998336,0.00373469,13.9327,0.998336,0.000801262
4,0,0.0195809,-0.0153658,0.00927956,-0.445869,0.0569442,24,27,30,0.996314,0.00268668,27.3498,0.996314,0.000523447
5,0,0.0142957,-0.00667077,-0.00260996,0.333518,0.0621936,24,27,30,0.996315,0.00297257,9.04021,0.996315,0.000948099
6,0,-0.00753352,-0.00692486,0.00765171,-0.972799,0.0607813,28,31,34,0.998306,0.00391484,13.2598,0.998306,0.000847477
7,0,0.0182877,-0.00947319,-0.00284497,-0.975062,0.0565056,25,28,31,0.996313,0.00273491,36.349,0.996313,0.000489483
8,0,-0.0110988,0.00568495,0.00219393,-0.450599,0.0617444,25,28,31,0.996314,0.00354834,7.27452,0.996314,0.00101897
9,0,0.0198492,-0.0103345,-0.00236159,-0.71197,0.0603498,29,32,35,0.985171,0.00366266,18.7866,0.985171,0.00083047
10,0,0.00693348,-0.0116045,0.00671816,0.0777045,0.0560704,25,28,31,0.996313,0.00385074,34.2937,0.996313,0.000501745
11,0,-0.0095211,0.0128897,-0.0035633,1.1156,0.0612984,26,29,32,0.996313,0.00396574,38.9958,0.996313,0.000528676
12,0,-0.0155894,0.0153108,-0.0087963,-0.449214,0.0599214,29,32,35,0.985171,0.00521361,58.2816,0.985171,0.000557846
13,0,0.00830966,-0.0110838,0.00995697,0.338272,0.0556386,26,29,32,0.996312,0.00448545,47.2863,0.996312,0.000470087
14,0,0.0197597,-0.0109298,-0.00204885,-0.974241,0.0608557,26,29,32,0.996313,0.00320936,31.2681,0.996313,0.000615498
15,0,-0.00134367,-0.0115412,0.00207446,-0.979858,0.0594962,30,33,36,0.984365,0.00459914,18.0067,0.984365,0.000753351
16,0,0.0188736,-0.0136085,0.0052656,-0.445921,0.0552103,27,30,33,0.998364,0.0026375,16.6,0.998364,0.000695266
17,0,-0.0103837,0.00111745,0.00711557,-0.713936,0.0604162,27,30,33,0.996312,0.00403991,11.3247,0.996312,0.000921773
18,0,0.00290055,0.0107695,-0.00487106,0.0743711,0.059074,30,33,36,0.984365,0.004858,15.9607,0.984365,0.000811548
19,0,0.0174924,-0.00492382,-0.00606676,-0.975852,0.0547852,27,30,33,0.998336,0.00278195,25.7613,0.998336,0.000566537
20,0,-0.00704415,0.000223494,0.00698367,-0.450686,0.05998,27,30,33,0.997549,0.00483778,10.5797,0.997549,0.00095154
21,0,-0.0180623,0.00555832,0.00664268,0.335075,0.0586549,31,34,37,0.96337,0.00410546,16.5689,0.96337,0.000886168
22,0,-0.0104336,0.0127312,-0.0029247,1.12485,0.0543636,28,31,34,0.998306,0.00433915,46.2917,0.998306,0.000470494
23,0,-0.0130939,0.0125139,0.000870597,1.11914,0.0595469,28,31,34,0.997503,0.00436362,54.602,0.997503,0.000491894
0,1,0.0061323,-0.000837476,-0.00143337,-0.374364,0.0616569,27,30,33,0.998516,0.00184677,108.016,0.998516,0.000247422
1,1,0.00588733,-0.00337151,0.000187394,1.46235,0.0573894,24,27,30,0.996582,0.00237504,598.451,0.996582,0.00010541
2,1,0.00538338,2.31943e-05,-0.000977057,0.146526,0.0626492,24,27,30,0.980361,0.00119004,108.215,0.980361,0.000202272
3,1,-0.00522995,0.000916966,0.000732428,-0.910554,0.0612191,27,30,33,0.998488,0.00240393,688.91,0.998488,0.000101119
4,1,-0.00451144,0.000179117,0.00154728,-0.368131,0.0569474,24,27,30,0.996582,0.00138946,68.3789,0.996582,0.000250568
5,1,0.00134078,-0.00292474,0.00117512,0.405666,0.0621968,24,27,30,0.996582,0.00232157,111.353,0.996582,0.000221593
6,1,-0.00555684,0.00121697,0.000893407,-0.897991,0.0607844,28,31,34,0.998458,0.00259261,655.558,0.998458,0.000110944
7,1,-0.00328688,-0.00148886,0.000513296,-0.902945,0.0565088,25,28,31,0.996581,0.0010904,88.0919,0.996581,0.00019266
8,1,-0.00340039,0.00359336,-0.0013855,-0.377153,0.0617476,25,28,31,0.996582,0.00282751,197.124,0.996582,0.000190424
