// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.997373,10.347,0.997431
1,shared,1,0.998448,8.77233,0.998293
2,individual,2,0.994607,9.92016,0.991099
3,individual,3,0.997379,11.161,0.997451
4,shared,0,0.99845,10.7843,0.998302
5,shared,1,0.998448,7.68955,0.998293
6,individual,6,0.997324,11.4854,0.997389
7,shared,1,0.998116,11.0813,0.998258
8,shared,0,0.99845,6.58364,0.998302
9,individual,9,0.997224,13.1607,0.997323
10,shared,0,0.99845,19.5736,0.998301
11,individual,11,0.998081,11.6587,0.998256
12,individual,12,0.997311,12.0364,0.997358
13,shared,1,0.99838,15.8534,0.998281
14,shared,0,0.99845,10.8751,0.998301
15,individual,15,0.997346,14.4337,0.997392
16,shared,0,0.998395,8.57376,0.998295
17,shared,1,0.99838,7.76763,0.998281
18,individual,18,0.997262,10.6437,0.997314
19,individual,19,0.998109,13.0437,0.998264
20,shared,0,0.998395,8.4774,0.998295
21,individual,21,0.997113,14.9894,0.997226
22,shared,0,0.998403,13.5506,0.998295
23,individual,23,0.998069,10.6823,0.998262
24,individual,24,0.9972,13.6293,0.997266
25,shared,1,0.998324,13.5288,0.998273
26,shared,0,0.998403,12.2761,0.998295
27,individual,27,0.997294,18.4592,0.997325
28,shared,0,0.998353,8.25676,0.99829
29,shared,1,0.998324,10.2701,0.998273
30,individual,30,0.995205,13.9665,0.993263
31,individual,31,0.998101,15.1023,0.998274
32,shared,0,0.998353,10.6331,0.99829
33,individual,33,0.995087,12.5039,0.993189
34,shared,0,0.998368,17.4239,0.998292
35,individual,35,0.998066,10.6453,0.998272
36,individual,36,0.992625,12.4976,0.989131
37,shared,1,0.998279,14.4824,0.998267
38,shared,0,0.998368,12.6856,0.998292
39,individual,39,0.992361,17.4363,0.988614
40,shared,0,0.998324,11.2235,0.998288
41,shared,1,0.998279,10.1284,0.998267
42,individual,42,0.992423,12.4982,0.988629
43,individual,43,0.998112,15.8125,0.998286
44,shared,0,0.998324,12.2591,0.998288
45,individual,45,0.992434,12.0371,0.98861
46,individual,46,0.996492,13.1132,0.995412
47,individual,47,0.998082,11.0739,0.998285
48,individual,48,0.992437,12.2834,0.98861
49,individual,49,0.996468,14.0829,0.995556
