// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.00691461,0.00760216,-0.00775356,-0.452186,0.0467788,36,39,42,0.994921,0.00155918,120.009,0.994921,0.000145016
1,0,-0.00382517,0.00454036,-0.00600004,1.52204,0.0436193,31,34,37,0.996506,0.00110922,35.1609,0.996506,0.000170087
2,0,-0.00914406,0.00886481,-0.00564687,-0.202454,0.0475875,31,34,37,0.980128,0.00101441,121.959,0.980128,0.000134078
3,0,-0.00965946,0.00202062,0.00513018,0.296904,0.0465317,36,39,42,0.994897,0.000967291,40.0568,0.994897,0.000227344
4,0,0.00562634,-0.00447617,0.00156383,0.643279,0.0433693,32,35,38,0.996506,0.000348786,7.7224,0.996506,0.00026413
5,0,0.000968779,0.000976615,-0.00414658,1.01129,0.0473316,32,35,38,0.996506,0.000972425,14.9533,0.996506,0.000272864
6,0,-0.0100355,0.00375069,0.00390989,0.301788,0.0462858,37,40,43,0.994876,0.00103005,38.9634,0.994876,0.000236434
7,0,-0.00428938,-0.00159151,0.00558811,-0.785595,0.0431208,33,36,39,0.996505,0.00078577,30.0128,0.996505,0.000203776
8,0,0.01117,-0.00957443,0.00722293,-0.370033,0.0470771,33,36,39,0.996506,0.00100985,50.657,0.996506,0.000152533
9,0,0.00219522,0.00261178,-0.00638441,0.510487,0.0460413,38,41,44,0.994855,0.00130491,27.2835,0.994855,0.000270922
10,0,-0.00849448,0.00380857,0.00228914,0.810813,0.0428737,33,36,39,0.996505,0.000698259,27.7503,0.996505,0.000211945
11,0,0.00607993,-0.00821073,0.00475488,0.212921,0.046824,33,36,39,0.996505,0.0010559,68.3255,0.996505,0.000171733
12,0,0.00881036,-0.00896209,0.0071572,-1.37374,0.0457981,38,41,44,0.994831,0.00154821,160.82,0.994831,0.000139612
13,0,0.00830433,-0.00547568,0.000972221,0.0139323,0.0426281,34,37,40,0.996504,0.000532965,16.989,0.996504,0.000237986
14,0,-0.00492847,-0.000809697,0.00555077,-0.78894,0.0465722,34,37,40,0.996505,0.000913215,25.3645,0.996505,0.000253961
15,0,0.00914735,-0.000312485,-0.00581795,-0.876499,0.0455562,39,42,45,0.994805,0.00103369,39.3267,0.994805,0.000232435
16,0,-0.0029666,0.00124476,0.00195813,-0.278291,0.0423839,34,37,40,0.996504,0.000808397,11.4171,0.996504,0.000263221
17,0,0.0107872,-0.00833946,0.00391998,-0.496841,0.0463219,34,37,40,0.996504,0.000825341,31.7429,0.996504,0.000220337
18,0,0.00455461,-0.00829087,0.00334821,-0.284662,0.0453157,39,42,45,0.994784,0.00136481,48.7057,0.994784,0.000218258
19,0,0.00363631,0.00306152,-0.00590077,0.135384,0.0421411,35,38,41,0.996504,0.000869436,32.838,0.996504,0.000202814
20,0,-0.0104233,0.00833099,-0.00474479,0.802773,0.046073,35,38,41,0.996504,0.000740346,20.2944,0.996504,0.00024221
21,0,0.0105182,-0.0071677,0.000430526,-0.997575,0.0450764,40,43,46,0.994762,0.00119617,41.1896,0.994762,0.000242115
22,0,0.00600746,-0.00778542,0.00462215,0.224346,0.0418998,36,39,42,0.996503,0.0011153,78.8548,0.996503,0.000149788
23,0,-0.00645826,0.00835074,-0.00305526,1.13404,0.0458254,36,39,42,0.996504,0.00115581,63.7379,0.996504,0.000182185
24,0,-0.00995333,0.00898249,-0.00496036,-0.200896,0.0448384,41,44,47,0.994737,0.00142323,73.1562,0.994737,0.000194292
25,0,0.00721672,-0.00784575,0.00657274,-1.49418,0.0416599,36,39,42,0.996503,0.001306,156.311,0.996503,0.00011594
26,0,0.00983032,-0.00809573,0.00149164,-1.37543,0.0455791,36,39,42,0.996503,0.00113602,69.5845,0.996503,0.00018238
27,0,-0.00861551,-0.00133727,0.00581415,0.0444679,0.0446017,41,44,47,0.994709,0.00108031,36.6148,0.994709,0.000241014
28,0,0.0002121,0.00200675,-0.00489388,0.894533,0.0414215,37,40,43,0.996503,0.00124495,21.4596,0.996503,0.000229631
29,0,0.00373974,-0.00630936,0.00728636,0.0894173,0.0453343,37,40,43,0.996503,0.00147053,60.7794,0.996503,0.000191007
30,0,0.00853123,0.000409842,-0.00613255,-0.871112,0.0443664,42,45,48,0.985378,0.0011789,37.2012,0.985378,0.000248058
31,0,-0.00299594,-0.00434437,0.00555484,-1.03806,0.0411844,37,40,43,0.996502,0.00093551,32.9599,0.996502,0.000205597
32,0,0.00892593,-0.00597562,0.00131371,-0.11882,0.0450908,37,40,43,0.996503,0.000675246,15.5276,0.996503,0.000296542
33,0,0.00248297,-0.00718322,0.00649018,-0.411246,0.0441322,42,45,48,0.984865,0.00162498,49.6019,0.984865,0.000231707
34,0,0.00672161,7.69338e-05,-0.00544699,-0.362124,0.0409487,38,41,44,0.996502,0.000967655,34.6468,0.996502,0.000210388
35,0,0.00679296,-0.00815627,0.00109608,-0.0392458,0.0448486,38,41,44,0.996502,0.00128694,63.7389,0.996502,0.000187125
36,0,0.0102893,-0.00771729,0.0017291,-1.12245,0.0438994,43,46,49,0.984865,0.00134982,42.3922,0.984865,0.000246709
37,0,-0.00478108,0.000162524,0.00458093,-0.907906,0.0407144,39,42,45,0.996502,0.00108101,24.6602,0.996502,0.000239347
38,0,0.00247857,0.0046427,-0.00636978,0.132477,0.0446078,39,42,45,0.996502,0.00115169,32.3673,0.996502,0.000245722
39,0,0.00806716,0.0028641,-0.00514801,-1.12898,0.0436678,44,47,50,0.984257,0.00114466,34.1432,0.984257,0.000250354
40,0,0.00242513,-0.00482403,0.00662027,-0.0270407,0.0404815,39,42,45,0.996501,0.00153945,50.1163,0.996501,0.000180676
41,0,-0.00866846,0.00390241,0.00234978,0.675668,0.0443682,39,42,45,0.996502,0.00100796,23.7398,0.996502,0.00028146
42,0,-0.00629789,0.00777385,0.00121116,0.636832,0.0434375,44,47,50,0.984257,0.0017051,62.3713,0.984257,0.000207681
43,0,0.00237041,0.0053985,-0.00461841,-0.117134,0.04025,40,43,46,0.996501,0.0010135,31.9709,0.996501,0.000209845
44,0,-0.00682417,0.0028856,0.00226975,-1.04041,0.0441301,40,43,46,0.996501,0.00101946,16.9246,0.996501,0.000310802
45,0,-0.00895025,0.00219077,0.00508304,0.175077,0.0432084,45,48,51,0.983723,0.00145426,36.9878,0.983723,0.000266756
46,0,-0.00722133,0.00740937,-0.000571344,1.1458,0.0400198,40,43,46,0.989526,0.00132435,73.5469,0.989526,0.000161885
47,0,-0.00708456,0.00764943,0.00089579,0.881841,0.0438932,40,43,46,0.996501,0.00143578,69.0478,0.996501,0.0001859
48,0,-0.00982791,0.0054009,0.0017594,0.0503909,0.0429805,45,48,51,0.983723,0.00144444,34.6424,0.983723,0.000275122
49,0,-0.00891199,0.00759466,-0.002472,-0.328993,0.039791,41,44,47,0.991865,0.00125096,65.3974,0.991865,0.00017294
0,1,-0.0057658,0.0019245,0.00208505,-0.380032,0.0467816,36,39,42,0.995143,0.00110927,40.7944,0.995143,0.000242626
1,1,-0.00805373,0.00522398,-0.00146101,-0.495449,0.0436222,31,34,37,0.996764,0.00115845,71.0921,0.996764,0.000148139
2,1,-0.0050392,-8.68746e-06,0.0035213,-0.131873,0.0475904,31,34,37,0.980843,0.00101477,58.2758,0.980843,0.000196419
3,1,0.0054224,-0.00614196,0.000161241,0.364033,0.0465343,36,39,42,0.995118,0.0017472,135.699,0.995118,0.000154135
4,1,-0.00751548,0.00669385,-0.00542391,0.72108,0.0433721,32,35,38,0.996763,0.00196245,529.201,0.996763,6.90845e-05
