// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.997402,10.3616,0.997497
1,shared,1,0.998456,8.04135,0.998294
2,individual,2,0.994631,9.84584,0.991161
3,individual,3,0.997406,11.6918,0.997515
4,shared,0,0.998456,10.0921,0.998303
5,shared,1,0.998456,8.05714,0.998294
6,individual,6,0.997355,11.189,0.997456
7,shared,1,0.99812,11.4097,0.998257
8,shared,0,0.998456,6.48492,0.998303
9,individual,9,0.997256,13.9143,0.997391
10,shared,0,0.998455,19.377,0.998302
11,individual,11,0.998085,10.8865,0.998256
12,individual,12,0.997342,11.6045,0.997425
13,shared,1,0.998387,14.9722,0.998282
14,shared,0,0.998455,11.8144,0.998302
15,individual,15,0.997374,16.1301,0.997458
16,shared,0,0.9984,8.92011,0.998295
17,shared,1,0.998387,7.58921,0.998282
18,individual,18,0.997295,10.8741,0.997383
19,individual,19,0.998111,13.6105,0.998263
20,shared,0,0.9984,8.10409,0.998295
21,individual,21,0.997148,15.2052,0.997297
22,shared,0,0.998408,13.6004,0.998296
23,individual,23,0.998072,10.246,0.998261
24,individual,24,0.997236,13.7949,0.997337
25,shared,1,0.998332,12.851,0.998274
26,shared,0,0.998408,11.6988,0.998296
27,individual,27,0.997324,18.6959,0.997393
28,shared,0,0.998358,7.68811,0.998291
29,shared,1,0.998332,10.5033,0.998274
30,individual,30,0.995262,12.8283,0.993383
31,individual,31,0.998102,15.6469,0.998272
32,shared,0,0.998358,10.2794,0.998291
33,individual,33,0.995133,12.4719,0.993298
34,shared,0,0.998373,16.9444,0.998292
35,individual,35,0.998066,10.4168,0.99827
36,individual,36,0.992695,12.8265,0.989313
37,shared,1,0.998288,15.1068,0.998268
38,shared,0,0.998373,14.1766,0.998292
39,individual,39,0.992428,16.065,0.988791
40,shared,0,0.998328,10.2675,0.998289
41,shared,1,0.998288,9.971,0.998268
42,individual,42,0.992487,13.0773,0.988806
43,individual,43,0.998111,16.0617,0.998284
44,shared,0,0.998328,11.631,0.998289
45,individual,45,0.992502,12.7017,0.988793
46,individual,46,0.996475,13.1951,0.995364
47,individual,47,0.99808,10.8428,0.998282
48,individual,48,0.992504,12.5048,0.988794
49,individual,49,0.996472,13.9112,0.99554
