// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.00652372,0.00712488,-0.00750435,-0.452147,0.0455915,36,39,42,0.995089,0.00153334,106.501,0.995089,0.000142605
1,0,-0.00350515,0.00406376,-0.00556219,1.52207,0.0425123,31,34,37,0.996503,0.00106847,30.2474,0.996503,0.000168754
2,0,-0.00875357,0.00858728,-0.00588915,-0.202404,0.0463747,31,34,37,0.980381,0.00100894,136.896,0.980381,0.000122234
3,0,-0.00957115,0.00255322,0.00466134,0.29708,0.0453507,36,39,42,0.995066,0.000951639,41.4481,0.995066,0.000215941
4,0,0.00567695,-0.00472657,0.00206148,0.643288,0.0422688,32,35,38,0.996502,0.000288377,7.24915,0.996502,0.000249846
5,0,0.00120859,0.000486798,-0.00355434,1.01137,0.0461254,32,35,38,0.996503,0.000910718,13.6362,0.996503,0.00026546
6,0,-0.00990282,0.00418705,0.00328122,0.301826,0.0451113,37,40,43,0.995046,0.000999283,39.5004,0.995046,0.000225422
7,0,-0.00445122,-0.00106422,0.00525316,-0.78545,0.0420268,32,35,38,0.996502,0.000760779,29.6641,0.996502,0.000196012
8,0,0.0108974,-0.00939378,0.00731324,-0.369981,0.0458775,33,36,39,0.996502,0.00102591,60.1506,0.996502,0.000132615
9,0,0.00244215,0.00203624,-0.0059186,0.510547,0.0448731,37,40,43,0.995025,0.00125458,25.8047,0.995025,0.000263192
10,0,-0.00843334,0.00415187,0.0016847,0.810823,0.0417861,33,36,39,0.996502,0.000660684,27.6068,0.996502,0.000202095
11,0,0.00566499,-0.00787348,0.00508928,0.213069,0.045631,33,36,39,0.996502,0.00103816,70.6688,0.996502,0.000162543
12,0,0.00842344,-0.00861826,0.00723285,-1.3737,0.0446363,38,41,44,0.995002,0.00154462,186.532,0.995002,0.000125308
13,0,0.00824013,-0.00568984,0.00152252,0.0139722,0.0415469,34,37,40,0.996501,0.000497339,16.935,0.996501,0.000224112
14,0,-0.00508205,-0.000265999,0.00508395,-0.788887,0.0453859,34,37,40,0.996502,0.000875633,24.6917,0.996502,0.000244941
15,0,0.00909624,-0.000917557,-0.00554305,-0.87631,0.0444007,39,42,45,0.994977,0.00102784,41.6836,0.994977,0.000219332
16,0,-0.00311791,0.00163566,0.00137312,-0.27828,0.0413091,34,37,40,0.996501,0.000732791,10.5562,0.996501,0.000253497
17,0,0.0105562,-0.0083502,0.00436449,-0.496757,0.0451421,34,37,40,0.996501,0.000827781,34.3405,0.996501,0.000201861
18,0,0.00412256,-0.00797872,0.00388662,-0.284623,0.0441664,39,42,45,0.994957,0.00132516,49.5543,0.994957,0.000208298
19,0,0.00383098,0.00251502,-0.00575079,0.135544,0.0410727,35,38,41,0.9965,0.000851558,33.3579,0.9965,0.000193867
20,0,-0.0102395,0.00834699,-0.0051201,0.802825,0.0448996,35,38,41,0.996501,0.000755951,21.4141,0.996501,0.000221883
21,0,0.0102626,-0.00732099,0.00111351,-0.997512,0.0439334,40,43,46,0.994935,0.00115781,42.861,0.994935,0.000227284
22,0,0.00562886,-0.00748545,0.00494233,0.224356,0.0408377,35,38,41,0.9965,0.00109885,83.0349,0.9965,0.000140706
23,0,-0.00603611,0.008113,-0.00356984,1.1342,0.0446585,36,39,42,0.9965,0.00112748,65.2731,0.9965,0.000173267
24,0,-0.00960598,0.00883281,-0.00535731,-0.200856,0.0437016,40,43,46,0.99491,0.00142002,84.3723,0.99491,0.000175345
25,0,0.00686067,-0.00749737,0.00660483,-1.49414,0.040604,36,39,42,0.9965,0.00129802,168.181,0.9965,0.000107045
26,0,0.0094747,-0.00808941,0.00210318,-1.37537,0.0444187,36,39,42,0.9965,0.00110989,73.4904,0.9965,0.000170907
27,0,-0.00860233,-0.000686,0.00577656,0.0446715,0.0434711,41,44,47,0.994884,0.00107616,39.3357,0.994884,0.000226284
28,0,0.000450244,0.00153307,-0.0043599,0.894544,0.0403718,37,40,43,0.996499,0.00117942,19.3661,0.996499,0.000224615
