// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.997374,10.3122,0.997432
1,shared,1,0.998448,8.75647,0.998293
2,individual,2,0.994611,9.92726,0.991103
3,individual,3,0.99738,11.2176,0.997452
4,shared,0,0.998451,10.7445,0.998303
5,shared,1,0.998448,7.72672,0.998293
6,individual,6,0.997325,11.4423,0.99739
7,shared,1,0.998117,11.1292,0.998258
8,shared,0,0.998451,6.55427,0.998303
9,individual,9,0.997225,13.2152,0.997324
10,shared,0,0.99845,19.4469,0.998301
11,individual,11,0.998081,11.7373,0.998257
12,individual,12,0.997312,11.9165,0.997358
13,shared,1,0.99838,15.5831,0.998281
14,shared,0,0.99845,10.9549,0.998301
15,individual,15,0.997347,14.4887,0.997392
16,shared,0,0.998395,8.61397,0.998295
17,shared,1,0.99838,7.7727,0.998281
18,individual,18,0.997263,10.7697,0.997314
19,individual,19,0.998109,13.1228,0.998264
20,shared,0,0.998395,8.43233,0.998295
21,individual,21,0.997114,15.1064,0.997227
22,shared,0,0.998403,13.5989,0.998295
23,individual,23,0.998069,10.7629,0.998262
24,individual,24,0.997201,13.6103,0.997266
25,shared,1,0.998324,13.6089,0.998273
26,shared,0,0.998403,12.2451,0.998295
27,individual,27,0.997295,18.4493,0.997325
28,shared,0,0.998353,8.23588,0.99829
29,shared,1,0.998324,10.2871,0.998273
30,individual,30,0.995206,13.83,0.993264
31,individual,31,0.998101,15.1718,0.998273
32,shared,0,0.998353,10.6702,0.99829
33,individual,33,0.995088,12.6655,0.99319
34,shared,0,0.998368,17.535,0.998291
35,individual,35,0.998066,10.7179,0.998272
36,individual,36,0.992629,12.5753,0.989134
37,shared,1,0.998279,14.5054,0.998266
38,shared,0,0.998368,12.8128,0.998291
39,individual,39,0.992365,17.5419,0.988617
40,shared,0,0.998324,11.1874,0.998288
41,shared,1,0.998279,10.1678,0.998266
42,individual,42,0.992427,12.6317,0.988633
43,individual,43,0.998112,15.8863,0.998286
44,shared,0,0.998324,12.2887,0.998288
45,individual,45,0.992438,12.1417,0.988613
46,individual,46,0.996494,13.1699,0.995414
47,individual,47,0.998082,11.1211,0.998285
48,individual,48,0.992441,12.3511,0.988613
49,individual,49,0.99647,14.1837,0.995557
