// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.00672795,0.00739637,-0.00754588,-0.452184,0.0455549,36,39,42,0.994922,0.00151739,122.939,0.994922,0.000137455
1,0,-0.00372114,0.00441683,-0.00583954,1.52204,0.0424801,31,34,37,0.996507,0.00107951,36.0702,0.996507,0.000161222
2,0,-0.00889877,0.0086253,-0.00549532,-0.202452,0.0463419,31,34,37,0.980132,0.000987379,124.883,0.980132,0.000127067
3,0,-0.00940178,0.00196511,0.00499309,0.296905,0.0453143,36,39,42,0.994898,0.000941337,41.1306,0.994898,0.000215458
4,0,0.0054786,-0.00435663,0.00152054,0.643279,0.0422368,32,35,38,0.996507,0.000339442,7.93359,0.996507,0.000250341
5,0,0.000945402,0.000949272,-0.00403636,1.01129,0.0460928,32,35,38,0.996507,0.00094634,15.3572,0.996507,0.000258613
6,0,-0.00976769,0.00364865,0.0038056,0.301789,0.045075,37,40,43,0.994878,0.00100247,40.0165,0.994878,0.000224067
7,0,-0.00417711,-0.0015488,0.00543928,-0.785595,0.0419949,33,36,39,0.996506,0.000764701,30.8072,0.996506,0.000193152
8,0,0.0108726,-0.00931628,0.00702806,-0.370031,0.0458451,33,36,39,0.996507,0.000982872,51.9432,0.996507,0.000144551
9,0,0.0021395,0.0025414,-0.0062144,0.510489,0.0448371,38,41,44,0.994856,0.00126987,28.0218,0.994856,0.000256774
10,0,-0.00826911,0.00370556,0.00222874,0.810813,0.0417545,33,36,39,0.996506,0.00067952,28.4948,0.996506,0.000200879
11,0,0.00591528,-0.00798914,0.00462791,0.212923,0.0455988,33,36,39,0.996506,0.00102776,70.0861,0.996506,0.000162767
12,0,0.00857322,-0.00871976,0.00696535,-1.37374,0.0446004,38,41,44,0.994832,0.00150674,164.757,0.994832,0.000132324
13,0,0.0080845,-0.00532817,0.000944876,0.0139323,0.0415154,34,37,40,0.996506,0.000518759,17.4519,0.996506,0.000225558
14,0,-0.0047992,-0.000788014,0.00540303,-0.788937,0.0453538,34,37,40,0.996506,0.000888688,26.0449,0.996506,0.000240701
15,0,0.00890309,-0.000302715,-0.00566229,-0.876498,0.044365,39,42,45,0.994807,0.00100596,40.3852,0.994807,0.000220285
16,0,-0.0028901,0.00121215,0.00190686,-0.278291,0.0412778,34,37,40,0.996505,0.000786691,11.7288,0.996505,0.000249486
17,0,0.0104998,-0.00811433,0.0038139,-0.496839,0.0451102,34,37,40,0.996506,0.000803364,32.6014,0.996506,0.000208811
18,0,0.00442976,-0.00806765,0.0032594,-0.28466,0.0441309,39,42,45,0.994786,0.00132832,50.0009,0.994786,0.000206871
19,0,0.00354153,0.00297957,-0.00574354,0.135384,0.0410416,35,38,41,0.996505,0.000846127,33.7095,0.996505,0.000192244
20,0,-0.0101462,0.00810638,-0.0046163,0.802775,0.0448679,35,38,41,0.996505,0.000720624,20.8468,0.996505,0.000229543
21,0,0.0102366,-0.00697359,0.000418641,-0.997573,0.0438981,40,43,46,0.994763,0.00116424,42.3115,0.994763,0.000229451
22,0,0.00584458,-0.00757514,0.00449878,0.224346,0.0408067,36,39,42,0.996504,0.00108555,80.8706,0.996504,0.000141982
23,0,-0.00628318,0.00812551,-0.002974,1.13405,0.044627,36,39,42,0.996505,0.001125,65.4052,0.996505,0.000172673
24,0,-0.00968593,0.00873958,-0.00482728,-0.200894,0.0436665,41,44,47,0.994738,0.00138514,75.1036,0.994738,0.000184136
25,0,0.00702208,-0.00763347,0.00639671,-1.49418,0.0405733,36,39,42,0.996504,0.00127105,159.978,0.996504,0.000109902
26,0,0.00956624,-0.00787686,0.00145172,-1.37543,0.0443873,36,39,42,0.996504,0.00110573,71.4251,0.996504,0.000172842
27,0,-0.00838519,-0.00130285,0.00565847,0.0444692,0.0434362,41,44,47,0.994711,0.00105133,37.6048,0.994711,0.000228417
28,0,0.000209349,0.00195192,-0.00476376,0.894533,0.0403412,37,40,43,0.996504,0.00121153,22.0401,0.996504,0.000217657
29,0,0.00363704,-0.00613877,0.00709178,0.0894192,0.044149,37,40,43,0.996504,0.0014311,62.3679,0.996504,0.000181048
30,0,0.00830347,0.000400354,-0.00596849,-0.87111,0.0432071,42,45,48,0.985379,0.00114728,38.2111,0.985379,0.00023509
