// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.997479,9.85259,0.997482
1,shared,1,0.998441,6.75517,0.998291
2,individual,2,0.994603,16.2248,0.991101
3,individual,3,0.997503,16.66,0.997507
4,shared,0,0.998447,11.8218,0.998302
5,shared,1,0.998441,11.1521,0.998291
6,individual,6,0.997425,12.8934,0.997439
7,shared,1,0.998139,17.1277,0.998265
8,shared,0,0.998447,7.54278,0.998302
9,individual,9,0.99732,8.8065,0.997374
10,shared,0,0.99844,9.55185,0.998299
11,individual,11,0.998108,8.66857,0.998264
12,individual,12,0.997412,8.99603,0.997408
13,shared,1,0.998372,9.44264,0.998279
14,shared,0,0.99844,15.9,0.998299
15,individual,15,0.997466,16.7232,0.997445
16,shared,0,0.998391,13.3851,0.998294
17,shared,1,0.998372,15.4373,0.998279
18,individual,18,0.997359,17.8317,0.997362
19,individual,19,0.99813,13.8945,0.998271
20,shared,0,0.998392,11.3637,0.998294
21,individual,21,0.997207,16.7816,0.997278
22,shared,0,0.998392,10.9607,0.998293
23,individual,23,0.998098,10.3102,0.998271
24,individual,24,0.997296,9.96378,0.997315
25,shared,1,0.998316,11.5749,0.99827
26,shared,0,0.998392,15.8121,0.998293
27,individual,27,0.997409,15.7874,0.997376
28,shared,0,0.99835,15.804,0.998289
29,shared,1,0.998316,10.7284,0.99827
30,individual,30,0.995238,13.7355,0.993273
31,individual,31,0.998123,11.957,0.99828
32,shared,0,0.99835,16.5069,0.998289
33,individual,33,0.995134,11.0819,0.993215
34,shared,0,0.998356,10.4113,0.998289
35,individual,35,0.998092,12.2811,0.998278
36,individual,36,0.992629,11.4862,0.989134
37,shared,1,0.998271,9.33849,0.998264
38,shared,0,0.998356,11.8427,0.998289
39,individual,39,0.992365,14.5703,0.988617
40,shared,0,0.99832,16.0025,0.998287
41,shared,1,0.998271,15.8748,0.998264
42,individual,42,0.992427,15.1623,0.988633
43,individual,43,0.998134,12.1147,0.998293
44,shared,0,0.99832,16.8002,0.998287
45,individual,45,0.992438,21.0527,0.988613
46,individual,46,0.996524,12.2507,0.995423
47,individual,47,0.998109,13.636,0.998291
48,individual,48,0.992441,14.0602,0.988613
49,individual,49,0.996491,17.8228,0.995576
