// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.997467,6.89793,0.997477
1,shared,1,0.998521,14.1351,0.998329
2,individual,2,0.995236,8.93197,0.991869
3,individual,3,0.997413,12.6075,0.997495
4,shared,0,0.998513,10.3064,0.998337
5,shared,1,0.998521,9.52114,0.998329
6,individual,6,0.997411,10.9462,0.997432
7,shared,1,0.998058,11.6714,0.998229
8,shared,0,0.998513,7.81134,0.998337
9,individual,9,0.997323,15.8662,0.997361
10,shared,0,0.998554,12.2209,0.998338
11,individual,11,0.997969,11.1107,0.998215
12,individual,12,0.997414,9.6116,0.997406
13,shared,1,0.998429,11.2794,0.998303
14,shared,0,0.998554,10.041,0.998338
15,individual,15,0.997383,13.2372,0.997438
16,shared,0,0.998435,12.4716,0.998317
17,shared,1,0.998429,8.61327,0.998303
18,individual,18,0.997358,10.5391,0.997358
19,individual,19,0.998051,11.8425,0.998232
20,shared,0,0.998436,7.81391,0.998318
21,individual,21,0.997233,19.8131,0.997264
22,shared,0,0.99849,13.8832,0.998321
23,individual,23,0.99796,11.3086,0.998219
24,individual,24,0.997301,11.3183,0.997309
25,shared,1,0.998344,18.4188,0.998281
26,shared,0,0.99849,10.329,0.998321
27,individual,27,0.997314,15.3234,0.99737
28,shared,0,0.998369,10.3718,0.998302
29,shared,1,0.998344,7.78285,0.998281
30,individual,30,0.995645,11.042,0.993709
31,individual,31,0.998012,11.7615,0.998234
32,shared,0,0.998369,7.03702,0.998302
33,individual,33,0.995559,18.7925,0.993643
34,shared,0,0.998434,12.9432,0.998308
35,individual,35,0.997928,13.9218,0.998221
36,individual,36,0.993554,13.4042,0.989933
37,shared,1,0.998267,15.3267,0.998264
38,shared,0,0.998434,12.1264,0.998308
39,individual,39,0.993259,16.2832,0.989464
40,shared,0,0.998313,8.27034,0.998292
41,shared,1,0.998267,8.3862,0.998264
42,individual,42,0.993384,12.3284,0.989495
43,individual,43,0.997993,11.0837,0.998244
44,shared,0,0.998313,9.6356,0.998292
45,individual,45,0.993393,17.2144,0.989481
46,individual,46,0.996769,15.1007,0.995668
47,individual,47,0.997922,15.5917,0.998232
48,individual,48,0.993394,15.3275,0.989482
49,individual,49,0.996736,19.0101,0.995783
